Breakfast,Lunch,Evening Snacks,Dinner,Fruits,Drinks,Others Advice,Desserts
Jellies,Mushroom,Peanuts,Mushroom,,,,
Jelly,Mushroom Barlet Soup,Pear,Mushroom Barlet Soup,,,,
Juice,Mushroom Curry,Pine Nuts,Mushroom Curry,,,,
Keema Matar,Mushroom Mutter Masala,Pineapple,Mushroom Mutter Masala,,,,
Ketchup,Naan,Poha,Naan,,,,
Kiwi,Non-Iodized Salt,Potato chips,Non-Iodized Salt,,,,
Low fat curd,Noodles,Raspberries,Noodles,,,,
Low-fat Cinnamon milk,Oats and Roasted Capsicum Soup,Ready to eat food,Oats and Roasted Capsicum Soup,,,,
Low-fat milk,Olive Oil,Ready to eat or packaged foods,Olive Oil,,,,
Mango,Organ Meat,red grapes,Organ Meat,,,,
Milk,Paneer Jalfrezi,Refined Sugar,Paneer Jalfrezi,,,,
Moong dal Chilla,Paneer Tikka Masala,Roasted Channa,Paneer Tikka Masala,,,,
Mushroom,Papad,Rocket Leaves Broccoli,Papad,,,,
Musli,Pastas,Salads,Pastas,,,,
Non-Iodized Salt,Pickle,Samosas,Pickle,,,,
Nuts,Pizza,Sandwich,Pizza,,,,
Nuts and Seeds,Poori,Sea Weed,Poori,,,,
Oats,Potato Curry,Shankarpali,Potato Curry,,,,
Oats and Roasted Capsicum Soup,Potato Masala,Soji Toast,Potato Masala,,,,
Oats Dosa,Potatoes,Sprouts,Potatoes,,,,
Oats Egg Omlette,Poultary,Strawberries,Poultary,,,,
Oats Idili,Processed Foods,Strawberry,Processed Foods,,,,
Oats Upma,Pumpkin,Sweet potatoes,Pumpkin,,,,
Oats uttapam,Pumpkin Curry,Tandoori Aloo Tikka,Pumpkin Curry,,,,
Omlette,Pumpkin Seeds,Tea,Pumpkin Seeds,,,,
Orange,Raddish,Tender Coconut water,Raddish,,,,
Papaya,Rajma,Veg Work Salad,Rajma,,,,
Parathas,Rajma Masala,Vegetable Rolls,Rajma Masala,,,,
Peanuts,Ready to eat food,Walnut,Ready to eat food,,,,
Pear,Ready to eat or packaged foods,Walnuts,Ready to eat or packaged foods,,,,
Pine Nuts,Red Meat,Watermelon,Red Meat,,,,
Pineapple,Refined Foods,Yogurt,Refined Foods,,,,
Plain Dosa,Rice,Zucchini,Rice,,,,
Poha,Rice flakes pulav,,Rice flakes pulav,,,,
Pomegranate,Rocket Leaves Broccoli,,Rocket Leaves Broccoli,,,,
Poori,Sabudana Khichdi,,Sabudana Khichdi,,,,
Porridge,Salads,,Salads,,,,
Pumpkin,Salmon,,Salmon,,,,
Raspberries,Salmon Tikka Masala,,Salmon Tikka Masala,,,,
Rava Appam,Sambar,,Sambar,,,,
Rava Chilla,Sea Weed,,Sea Weed,,,,
Rava Dhokla,Soya,,Soya,,,,
Rava Dosa,Soya bean curry,,Soya bean curry,,,,
Rava Idili,Species,,Species,,,,
Rava Pongal,Spinach,,Spinach,,,,
Rava Uttapam,Spinach Rice,,Spinach Rice,,,,
Rava Vada,Sprouts Curry,,Sprouts Curry,,,,
Ready to eat food,Stew,,Stew,,,,
Ready to eat or packaged foods,Sweet potatoes,,Sweet potatoes,,,,
red grapes,Tandoori Aloo Tikka,,Tandoori Aloo Tikka,,,,
Refined Foods,Tandoori Cauliflower,,Tandoori Cauliflower,,,,
Refined Sugar,Taro Curry,,Taro Curry,,,,
Rocket Leaves Broccoli,Tofu,,Tofu,,,,
Sabudana Khichdi,Tomatoes,,Tomatoes,,,,
Salads,Toor dal,,Toor dal,,,,
Sambar,Urad dal,,Urad dal,,,,
Sandwich,Vegetable Biryani,,Vegetable Biryani,,,,
Sea Weed,Vegetable Khichdi,,Vegetable Khichdi,,,,
Sesame seeds,Wheat Roti,,Wheat Roti,,,,
Soaked Jeera Seeds,Yellow Moong Dal,,Yellow Moong Dal,,,,
Soji Toast,,,,,,,
Sprouts,,,,,,,
Steamed Idili,,,,,,,
Stew,,,,,,,
Strawberries,,,,,,,
Strawberry,,,,,,,
Stuffed Buckwheat Paratha,,,,,,,
Sweet potatoes,,,,,,,
Tea,,,,,,,
Tender Coconut water,,,,,,,
Tofu,,,,,,,
Tonned Milk,,,,,,,
Upma,,,,,,,
Utappam,,,,,,,
Veg Work Salad,,,,,,,
Vegetable Daliya,,,,,,,
Vegetable Korma,,,,,,,
Vegetable Oats,,,,,,,
Vegetable Rolls,,,,,,,
Vegetable Sambar,,,,,,,
Vegetable soup,,,,,,,
Walnut,,,,,,,
Walnuts,,,,,,,
Watermelon,,,,,,,
Wheat Bread,,,,,,,
Wheat Flakes,,,,,,,
Wheat Roti,,,,,,,
White Bread,,,,,,,
White Dhokala,,,,,,,
Whole wheat,,,,,,,
Yogurt,,,,,,,
Zucchini,,,,,,,
